HIP,RAhms,DEdms,Vmag,SpType,HD
2889,"00 36 37.59","-65 07 27.9",6.43,"K2/K3III",3444
2888,"00 36 37.63","-49 07 55.2",6.79,"G0/G1V",3405
2900,"00 36 46.47","+44 29 18.6",5.14,"K5III",3346
2901,"00 36 46.55","+54 57 26.6",6.77,"K2",3345
2903,"00 36 47.31","+15 13 54.3",5.89,"B2.5IV",3379
2907,"00 36 49.64","-76 18 34.5",6.72,"F2/F3III",3528
2912,"00 36 52.84","+33 43 09.7",4.34,"B5V",3369
2920,"00 36 58.27","+53 53 49.0",3.69,"B2IV",3360
2926,"00 37 07.20","+24 00 51.3",6.18,"K2III",3411
2937,"00 37 18.18","-54 23 37.7",6.4,"K0II/IIICN",3488
2941,"00 37 19.79","-24 46 02.0",5.57,"K1V+...",3443
2942,"00 37 21.23","+35 23 58.2",5.45,"G5III",3421
2944,"00 37 22.12","-37 17 16.7",6.99,"G8V",3460
2948,"00 37 26.41","+40 19 56.6",6.85,"A0",3431
2954,"00 37 30.44","+03 08 07.8",6.43,"K4III",3457
2965,"00 37 40.69","+21 05 59.2",6.84,"K1III",3468
2968,"00 37 45.68","+72 53 41.5",6.96,"B3",3366
2994,"00 38 04.57","-00 30 12.6",6.64,"K2III",3512
3025,"00 38 31.83","-20 17 47.8",6.73,"Asp...",3580
3030,"00 38 33.45","+60 19 29.2",6.77,"K3Ib-II",3489
3031,"00 38 33.50","+29 18 44.5",4.34,"G5III...",3546
3042,"00 38 40.66","-73 08 15.5",6.87,"A1m...",3719
3045,"00 38 41.60","+46 57 24.6",6.72,"G5",3531
3056,"00 38 48.75","-25 06 28.0",6.43,"K4III",3605
3058,"00 38 49.25","+59 49 34.2",6.72,"A0",3519
3070,"00 38 57.51","+26 19 25.7",6.92,"K3III",3590
3083,"00 39 09.89","+49 21 16.5",5.45,"K5III",3574
3084,"00 39 11.24","-57 58 04.0",6.81,"F5IV/V",3698
3092,"00 39 19.60","+30 51 40.4",3.27,"K3III...",3627
3093,"00 39 22.09","+21 15 04.9",5.88,"K0V",3651
3114,"00 39 38.15","-85 42 03.0",6.81,"K5III",4229
3122,"00 39 43.64","-11 09 01.7",6.83,"F5",3708
3132,"00 39 47.75","+82 29 36.9",6.38,"F6V:",3440
3137,"00 39 51.91","-44 47 46.8",6.0,"K1IIICN...",3750
3138,"00 39 55.55","+21 26 18.8",5.36,"F3V...",3690
3142,"00 39 57.59","-33 57 40.3",6.68,"F7V",3735
3145,"00 39 59.47","+76 52 16.2",6.73,"K0",3553
3170,"00 40 24.66","-59 27 20.5",5.89,"G1V",3823
3175,"00 40 28.56","-16 30 59.8",6.49,"G8III",3794
3179,"00 40 30.39","+56 32 14.7",2.24,"K0II-IIIvar",3712
3185,"00 40 32.40","-23 48 14.4",6.14,"G3/G5V",3795
3188,"00 40 33.33","-29 25 15.2",6.75,"K0III",3809
3193,"00 40 42.38","-04 21 06.5",5.9,"K0III",3807
3231,"00 41 07.20","+39 27 31.2",5.3,"G8III",3817
3236,"00 41 11.95","+09 21 19.1",6.52,"F5",3861
3240,"00 41 12.74","+52 11 51.8",6.74,"A0",3802
3245,"00 41 19.58","-46 05 06.0",4.59,"G8III",3919
3266,"00 41 34.47","-25 11 47.2",6.55,"K1/K2III",3917
3267,"00 41 34.52","+65 52 06.1",6.95,"F8",3801
3269,"00 41 35.98","+24 37 44.6",6.06,"A7m",3883
3277,"00 41 46.30","-56 30 05.2",5.72,"Ap",3980
3299,"00 42 03.44","+66 08 51.4",5.83,"G9III-IV",3856
3300,"00 42 03.88","+50 30 45.1",4.8,"B2.5V",3901
3316,"00 42 14.51","-11 48 17.3",6.78,"K3III",3975
3330,"00 42 28.30","-65 28 05.3",5.38,"F6V",4089
3334,"00 42 31.01","+58 45 12.4",6.18,"B9.5III",3924
3346,"00 42 37.99","+52 20 13.8",6.94,"B1III",3950
3352,"00 42 41.64","-60 15 45.7",5.99,"K5III",4088
3356,"00 42 42.89","-38 27 48.5",6.05,"B9.5V",4065
3369,"00 42 50.76","-09 55 17.9",6.63,"F8",4048
3371,"00 42 52.77","+16 39 45.6",6.56,"K0",4014
3397,"00 43 17.47","-45 10 52.8",6.98,"K0III",4130
3405,"00 43 21.24","-57 27 47.2",4.36,"A0IV",4150
3414,"00 43 28.09","+47 01 28.7",4.95,"A5V",4058
3419,"00 43 35.23","-17 59 12.1",2.04,"K0III",4128
3436,"00 43 50.09","-12 00 40.7",6.01,"K1III",4145
3438,"00 43 52.26","+33 18 38.5",6.92,"A5",4119
3445,"00 44 03.01","+70 49 24.5",6.75,"K0",4042
3455,"00 44 11.41","-10 36 33.4",4.77,"K0IIIvar",4188
3456,"00 44 11.92","-38 25 19.1",5.9,"K1III",4211
3459,"00 44 14.36","-49 23 09.2",6.86,"A3V",4228
3478,"00 44 26.23","+47 51 50.3",5.66,"B5V...",4142
3489,"00 44 31.52","-62 29 51.4",6.06,"F5III/IV",4294
3490,"00 44 35.35","-78 04 55.8",6.61,"K0III",4438
